Question (activity),Number of submissions
queue_with_array,930
duplicate_elements,918
selection_sort_step_by_step,484
linked_list,428
sorted_insertion_last,406
warm_up_dsa,383
hashset,344
counting_sort_step_by_step,329
recursive_insertion_sort,328
swap_neighbors,323
recursive_binary_search,316
recursive_selection_sort,310
circular_vector,304
best_pivot,298
brackets,284
sorted_insertion_first,281
mariana_and_books,276
hash_table_probing,273
negative_counting_sort,270
stack_with_array,250
build_heap,247
predecessor_bst,232
word_cloud,227
master_theorem,224
invert_stack_index,211
is_heap,208
nearest_value_bst,208
hash_table_chaining,193
lomuto_partitioning_last,181
count_internal_nodes_bst,174
order_statistic,174
max_stack_index,172
queue_jumper,164
recursive_linear_search,162
move_impostor,161
merge_sort_step_by_step,159
bubble_sort_step_by_step,159
bfs,157
three_n_plus_one,155
right_bfs,155
top_n,153
quick_sort_step_by_step,151
move_three,150
frequency_element,149
rotations_bst,146
invert_phrase,143
recursive_power,140
sort_stack_inverting,140
swap_neighbors_linked_list,131
bst_height,131
max_bst,130
lomuto_partitioning,126
find_first_negative,124
stopwords,123
element_positions,119
bst_search,115
two_add_up,115
remove_index_linkedlist,109
sum_leaves,106
check_tree,103
trim_linked_list,101
number_larger_elements_bst,100
stable_partition,99
frequency_table,89
tower_of_hanoi,89
max_stack,81
stooge_sort,81
balance,78
radix_sort_two_digits,78
filter_linked_list,76
down_n,75
move_n,75
count_leaves,74
invert_stack_without_queue,71
binary_search,69
fibonacci,65
recursive_break_finder,63
invert_stack,60
hoare_partitioning,55
removal_bst,55
element_at_stack,50
routing_bst,48
plates_sorting,45
successor_bst,40
number_smaller_elements_bst,39
find_element,36
leftover_element,34
radix_sort,28
mathematical_expression,26
min_bst,24
without_pair,23
adjacency_matrix,20
similar_trees,19
radix_sort_three_digits,13
equals_bst,13
reverse_polish,11
invert_array,6
tree_height,2
adjacency_list,1
